model_id,model_type,model_family,model_size_class,seq_len,num_samples,method,bit,ppl,delta_vs_fp16,delta_vs_basequant_int3,delta_vs_basequant_int4,selected_correction,selector_decision,calibration_ppl_vdom,calibration_ppl_kv,k_safety_triggered,gate_a_pass,gate_b_pass,turboquant_standalone,turboquant_plus_carekv_status,feasible,status,blocker,paper_usable,paper_reason
mistralai/Mistral-7B-v0.3,mistral,mistral,7B,256,4,fp16,16,7.3547,,,,,,,,,,,False,unsupported,yes,real,,yes,reference
mistralai/Mistral-7B-v0.3,mistral,mistral,7B,256,4,BaseQuant_INT4,4,7.4208,0.0662,,,,,,,,True,,False,unsupported,yes,real,,yes,
mistralai/Mistral-7B-v0.3,mistral,mistral,7B,256,4,BaseQuant_INT3,3,7.8006,0.446,,,,,,,,True,True,False,unsupported,yes,real,,yes,
mistralai/Mistral-7B-v0.3,mistral,mistral,7B,256,4,Adaptive_CAREKV_INT3,3,7.6933,0.3386,-0.1073,,Vdom,k_safety_fallback_to_vdom,7.6933,7.7128,True,True,True,False,unsupported,yes,real,,yes,selected Vdom (k_safety_fallback_to_vdom)
mistralai/Mistral-7B-v0.3,mistral,mistral,7B,256,4,TurboQuant_INT4_standalone,4,7.4479,0.0932,-0.3527,0.0271,,,,,,,,True,unsupported,yes,real,,yes,
mistralai/Mistral-7B-v0.3,mistral,mistral,7B,256,4,TurboQuant_INT3_standalone,3,7.6855,0.3308,-0.1151,0.2647,,,,,,,,True,unsupported,yes,real,,yes,
mistralai/Mistral-7B-v0.3,mistral,mistral,7B,256,4,TurboQuant_INT2_standalone,2,48.7442,41.3896,40.9436,41.3234,,,,,,,,True,unsupported,no,unstable_outlier_collapse,,no,
mistralai/Mistral-7B-v0.3,mistral,mistral,7B,256,4,TurboQuant_plus_CAREKV,3,,,,,,,,,,,,False,unsupported,no,unsupported,"QJL is a score-level inner-product estimator, while CARE-KV corrects reconstructed K/V values; direct stacking would redefine the methods.",no,"QJL is a score-level inner-product estimator, while CARE-KV corrects reconstructed K/V values; direct stacking would redefine the methods."
mistralai/Mistral-7B-v0.3,mistral,mistral,7B,512,4,fp16,16,6.7854,,,,,,,,,,,False,unsupported,yes,real,,yes,reference
mistralai/Mistral-7B-v0.3,mistral,mistral,7B,512,4,BaseQuant_INT4,4,6.8221,0.0367,,,,,,,,True,,False,unsupported,yes,real,,yes,
mistralai/Mistral-7B-v0.3,mistral,mistral,7B,512,4,BaseQuant_INT3,3,7.2972,0.5118,,,,,,,,True,True,False,unsupported,yes,real,,yes,
