model_id,seq_len,num_samples,head_dim,selected_correction,selector_decision,gate_a_pass,gate_b_pass,carekv_status,fixed_store_budget,fixed_total_kv_MB,fixed_residual_MB,effective_store_budget,effective_k_slots,effective_v_slots,effective_residual_MB,effective_total_kv_MB,effective_residual_overhead_vs_base_pct,effective_residual_frac_of_total_pct,effective_saving_vs_fp16_pct,effective_total_kv_MB_reduction_vs_fixed_pct
mistralai/Mistral-7B-v0.3,512,4,128,KV,select_kv,True,True,real,SK2SV4,14.740499,0.8475,SK2SV4,2,4,0.8475,14.740499,7.0625,5.7495,76.968,0.0
mistralai/Mistral-7B-v0.3,256,4,128,Vdom,k_safety_fallback_to_vdom,True,True,real,SK2SV4,7.37025,0.42375,SK0SV4,0,4,0.2825,7.1635,4.7083,3.9436,77.6141,2.8052
01-ai/Yi-6B,128,4,128,KV,select_kv,True,True,real,SK2SV4,1.842563,0.105938,SK2SV4,2,4,0.105938,1.842563,7.0625,5.7495,76.968,0.0
01-ai/Yi-6B,256,4,128,BaseQuant_INT3,skip_near_lossless,True,True,real,SK2SV4,3.685125,0.211875,SK0SV0,0,0,0.0,3.25,0.0,0.0,79.6875,11.8076
deepseek-ai/deepseek-llm-7b-base,512,4,128,Vdom,k_safety_fallback_to_vdom,True,True,real,SK2SV4,55.276875,3.178125,SK0SV4,0,4,2.11875,53.72625,4.7083,3.9436,77.6141,2.8052
openlm-research/open_llama_7b_v2,512,4,128,Vdom,k_safety_fallback_to_vdom,True,True,real,SK2SV4,58.962,3.39,SK0SV4,0,4,2.26,57.308001,4.7083,3.9436,77.6141,2.8052
deepseek-ai/deepseek-llm-7b-base,128,4,128,KV,select_kv,True,True,real,SK2SV4,13.819219,0.794531,SK2SV4,2,4,0.794531,13.819219,7.0625,5.7495,76.968,0.0
deepseek-ai/deepseek-llm-7b-base,256,4,128,BaseQuant_INT3,no_valid_carekv_candidate,True,False,blocked,SK2SV4,27.638437,1.589063,SK0SV0,0,0,0.0,24.375,0.0,0.0,79.6875,11.8076
01-ai/Yi-6B,512,4,128,KV,select_kv,True,True,real,SK2SV4,7.37025,0.42375,SK2SV4,2,4,0.42375,7.37025,7.0625,5.7495,76.968,0.0
Qwen/Qwen2-7B,128,4,128,BaseQuant_INT3,no_valid_carekv_candidate,False,True,blocked_architecture_port,SK2SV4,1.612242,0.092695,SK0SV0,0,0,0.0,1.421875,0.0,0.0,79.6875,11.8076
Qwen/Qwen2.5-7B,128,4,128,BaseQuant_INT3,no_valid_carekv_candidate,False,True,blocked_architecture_port,SK2SV4,1.612242,0.092695,SK0SV0,0,0,0.0,1.421875,0.0,0.0,79.6875,11.8076
Qwen/Qwen2.5-7B,256,4,128,BaseQuant_INT3,no_valid_carekv_candidate,False,True,blocked_architecture_port,SK2SV4,3.224484,0.18539,SK0SV0,0,0,0.0,2.84375,0.0,0.0,79.6875,11.8076
Qwen/Qwen2.5-7B,512,4,128,BaseQuant_INT3,no_valid_carekv_candidate,False,True,blocked_architecture_port,SK2SV4,6.448969,0.370781,SK0SV0,0,0,0.0,5.6875,0.0,0.0,79.6875,11.8076
Qwen/Qwen2-7B,256,4,128,BaseQuant_INT3,no_valid_carekv_candidate,False,True,blocked_architecture_port,SK2SV4,3.224484,0.18539,SK0SV0,0,0,0.0,2.84375,0.0,0.0,79.6875,11.8076
Qwen/Qwen2-7B,512,4,128,BaseQuant_INT3,no_valid_carekv_candidate,False,True,blocked_architecture_port,SK2SV4,6.448969,0.370781,SK0SV0,0,0,0.0,5.6875,0.0,0.0,79.6875,11.8076
facebook/opt-6.7b,256,4,128,KV,select_kv,True,True,real,SK2SV4,29.481,1.695,SK2SV4,2,4,1.695,29.481,7.0625,5.7495,76.968,0.0
EleutherAI/pythia-6.9b,128,4,128,BaseQuant_INT3,no_valid_carekv_candidate,False,True,blocked_architecture_port,SK2SV4,14.740499,0.8475,SK0SV0,0,0,0.0,13.0,0.0,0.0,79.6875,11.8076
facebook/opt-6.7b,128,4,128,BaseQuant_INT3,no_valid_carekv_candidate,False,True,blocked_architecture_port,SK2SV4,14.740499,0.8475,SK0SV0,0,0,0.0,13.0,0.0,0.0,79.6875,11.8076
mistralai/Mistral-7B-v0.3,1024,2,128,BaseQuant_INT3,no_valid_carekv_candidate,True,True,real,SK2SV4,29.481,1.695,SK0SV0,0,0,0.0,26.0,0.0,0.0,79.6875,11.8076
mistralai/Mistral-7B-v0.3,128,4,128,Vdom,k_safety_fallback_to_vdom,True,True,real,SK2SV4,3.685125,0.211875,SK0SV4,0,4,0.14125,3.58175,4.7083,3.9436,77.6141,2.8052
EleutherAI/pythia-6.9b,256,4,128,BaseQuant_INT3,no_valid_carekv_candidate,False,True,blocked_architecture_port,SK2SV4,29.481,1.695,SK0SV0,0,0,0.0,26.0,0.0,0.0,79.6875,11.8076
openlm-research/open_llama_7b_v2,256,4,128,KV,select_kv,True,True,real,SK2SV4,29.481,1.695,SK2SV4,2,4,1.695,29.481,7.0625,5.7495,76.968,0.0
openlm-research/open_llama_7b_v2,128,4,128,BaseQuant_INT3,skip_near_lossless,True,True,real,SK2SV4,14.740499,0.8475,SK0SV0,0,0,0.0,13.0,0.0,0.0,79.6875,11.8076
01-ai/Yi-6B,1024,1,128,Vdom,k_safety_fallback_to_vdom,True,True,real,SK2SV4,14.740499,0.8475,SK0SV4,0,4,0.565,14.327,4.7083,3.9436,77.6141,2.8052
openlm-research/open_llama_7b_v2,1024,1,128,BaseQuant_INT3,skip_near_lossless,True,False,blocked,SK2SV4,117.924,6.78,SK0SV0,0,0,0.0,104.0,0.0,0.0,79.6875,11.8076
deepseek-ai/deepseek-llm-7b-base,1024,1,128,BaseQuant_INT3,no_valid_carekv_candidate,True,False,blocked,SK2SV4,110.55375,6.35625,SK0SV0,0,0,0.0,97.5,0.0,0.0,79.6875,11.8076
mistralai/Mistral-7B-v0.3,1024,1,128,BaseQuant_INT3,skip_near_lossless,True,True,real,SK2SV4,29.481,1.695,SK0SV0,0,0,0.0,26.0,0.0,0.0,79.6875,11.8076
